Agency code	Agency title	Established Year	Disestablished Year
AEUH	Navy Department	1914	1964
AEUW	Department of Conservation, Murihiku Area Office	1987	current
AEUY	Supreme Court of New Zealand	2004	current
AEVR	New Zealand Kiwifruit Authority, Head Office	1977	1988
AEVX	New Zealand Transport Agency, Whangarei Office	2008	current
AEVY	New Zealand Transport Agency, Auckland Office	2008	current
AEVZ	New Zealand Transport Agency, Hamilton Office	2008	current
AEWA	New Zealand Transport Agency, Tauranga Office	2008	current
AEWB	New Zealand Transport Agency, Napier Office	2008	current
AEWC	New Zealand Transport Agency, Wanganui Office	2008	current
AEWD	New Zealand Transport Agency, Palmerston North Office	2008	current
AEWE	New Zealand Transport Agency, Wellington Office	2008	current
AEWF	New Zealand Transport Agency, Blenheim Office	2008	current
AEWG	New Zealand Transport Agency, Christchurch Office	2008	current
AEWH	New Zealand Transport Agency, Dunedin Office	2008	current
AEWI	Transit New Zealand, Northland Office	c. 2003	2008
AEWJ	Transit New Zealand, Marlborough Roads Office	c. 2003	2008
AEWK	Transit New Zealand, Tauranga Office	c. 2003	2008
AEWL	Transit New Zealand, Wanganui Regional Office	1989	2008
AEWM	Transit New Zealand, Wellington Regional Office	1989	2008
AEWO	Centre for Critical Infrastructure Protection	2002	current
AEWP	Tangimoana Interception Station	1982	current
AEWQ	Waihopai Interception Station	1989	current
AEWT	Department of Agriculture - Meat Division	1963	1972
AEYA	Discharged Soldiers' Information Department, Head Office	1915	1919
AEYB	Repatriation Department, Head Office	1919	1922
AEYE	Land and Income Tax Department, Head Office	1878	1952
AEYN	Department of Social Welfare, Kaitaia District Office	1972	1992
AEYR	Inspector-General of Intelligence and Security	1996	current
AEYU	Commissioner of Security Warrants	1999	current
AEYV	Commissioner of Security Appeals	1969	1996
AEYW	Environmental Protection Authority	2009	2011
AEYX	National Water and Soil Conservation Authority	1968	1988
AEZD	Real Estate Agents Authority	2009	current
AEZI	Coronial Services of New Zealand, National Office	2007	current
AEZJ	Coronial Services of New Zealand, Auckland Regional Office	2007	current
AEZK	Coronial Services of New Zealand, Christchurch Regional Office	2007	current
AEZN	Government Superannuation Fund	1948	1998
AFAH	Department of Agriculture, Industries, and Commerce - Fields Division	1909	1918
AFAI	Department of Agriculture - Animal Industry Division	1909	1963
AFAJ	Department of Agriculture - Dairy Division	1909	1972
AFAZ	Marine Department - Fisheries Research Division	1964	1972
AFBA	Marine Department - Fisheries Management Division	1964	1972
AFBF	Ministry of Agriculture and Fisheries - Agricultural Research Division	1972	1987
AFBG	Occupational Safety and Health Service, Northern Regional Office	c. 1991	current
AFBH	Occupational Safety and Health Service, Manukau Area Office	1988	c. 1991
AFBO	Department of Imperial Government Supplies, Head Office	1915	1922
AFCP	Department of Agriculture - Sheep and Wool Division	1966	1969
AFCQ	Department of Agriculture - Animal Research Division	1939	1960
AFCR	Ministry of Agriculture and Fisheries - Meat Division	1972	1987
AFCS	Department of Agriculture - Economics Division	1970	1972
AFCT	Department of Agriculture - Agricultural Research Division	1964	1972
AFDB	Career Services, Whangarei Regional Office	1990	current
AFDC	The Careers Service, Kaitaia Sub-Office	1990	1996
AFDD	Career Services, Waitemata Regional Office	1996	current
AFDE	Career Services, Manukau City Regional Office	1996	current
AFDF	Career Services, Hamilton Regional Office	1990	current
AFDG	Career Services, Rotorua Regional Office	1990	current
AFDH	The Careers Service, Tauranga Office	1990	1996
AFDI	Career Services, Napier Regional Office	1990	current
AFDJ	Career Services, Gisborne Sub-Office	c. 2000	current
AFDK	Career Services, Palmerston North Regional Office	1990	current
AFDL	Career Services, New Plymouth Sub-Office	1990	current
AFDM	Career Services, Wellington Regional Office	1990	current
AFDN	Career Services, Nelson Regional Office	1990	current
AFDO	Career Services, Greymouth Sub-Office	1990	current
AFDP	Career Services, Christchurch Regional Office	1990	current
AFDQ	Career Services, Timaru Sub-Office	c. 2005	current
AFDR	Career Services, Dunedin Regional Office	1990	current
AFDS	Career Services, Invercargill Sub-Office	1990	c. 2005
AFDU	The Careers Service, Papatoetoe Regional Office	1990	1996
AFDV	The Careers Service, Waitakere Sub-Office	1990	1996
AFDW	Career Services, Kaitaia Sub-Office	c. 2005	current
AFDX	Career Services, Waitakere Sub-Office	c. 2007	current
AFDY	Career Services, Tauranga Sub-Office	c. 1999	current
AFDZ	The Careers Service, Auckland Central Sub-Office	1990	1996
AFEB	The Careers Service, Taupo Sub-Office	1993	1996
AFEC	The Careers Service, Wanganui Sub-Office	1990	1996
AFED	The Careers Service, Otaki Sub-Office	1990	c. 1993
AFEE	The Careers Service, Blenheim Sub-Office	1990	1996
AFEF	The Careers Service, Timaru Sub-Office	1990	c. 1998
AFEP	Department of Defence	1863	1937
AFEQ	Headquarters, Central Military District	1911	1970
AFER	Ministry of Agriculture and Fisheries - Christchurch Regional Office	1972	1987
AFET	Colonial Secretary's Office - Militia Branch	1860	1862
AFEU	Deputy Adjutant-General's Office	1859	1865
AFEV	Lyttelton Detachment Royal New Zealand Artillery	c. 1886	c. 1947
AFEW	Co-operative Dairy Companies Tribunal	1949	1997
AFFC	Valuation Department, Gisborne District Office	? 1905	? 1955
AFFF	Department of Agriculture - Fields Division	1923	1948
AFFG	Department of Agriculture - Rural Development Division	1944	1948
AFFH	Department of Agriculture - Farm Advisory Division	1948	1971
AFFK	Ministry of Agriculture and Fisheries - Dairy Division	1972	1987
AFFU	New Zealand High Commission, Canberra	1943	current
AFFV	Agriculture Quarantine Service	1960	1987
AFFW	New Zealand Embassy, Paris 	1949	current
AFFX	Ministry of Agriculture and Fisheries - Economics Division	1972	1987
AFFY	Ministry of Agriculture and Fisheries - Advisory Services Division	1971	1987
AFGE	Campbell Island Meteorological Station	1941	current
AFHM	Headquarters, Northern Military District	1911	1970
AFHN	New Zealand High Commission, Honiara	1978	current
AFHO	New Zealand High Commission, Niue	1974	current
AFHQ	Valuation Department, Wellington District Office	? 1897	? 1956
AFIH	Land Information New Zealand, Wellington Processing Centre	1996	2010
AFIM	Department of Conservation, Te Urewera Area Office	1987	current
AFIU	Department of Conservation - Great Barrier Area Office	1987	? 2009
AFJI	34th Anti-Tank Battery, 2nd New Zealand Expeditionary Force 	1940	1945
AFJM	Lands and Survey Office, Gisborne	? 1875	1923
AFJN	Royal New Zealand Army Medical Corps	1919	current
AFJO	New Zealand Medical Corps	1908	1947
AFJP	Royal New Zealand Nursing Corps	1915	current
AFKA	Land Titles Office, Gisborne	? 1883	1996
AFKE	Directorate of Defence Intelligence and Security 	1967	current
AFKI	Film Censor's Office	1916	1994
AFKR	Rotorua Court of Review	1935	1961
AFKV	Office of Tourism and Sport	1998	2002
AFLH	Army Headquaters Support Command	c. 1984	1998
AFNQ	New Zealand Embassy, Ankara	1993	current
AFNR	New Zealand Embassy, Brasilia	2001	current
AFNS	New Zealand Embassy, Buenos Aires	1998	current
AFNT	New Zealand Embassy, Cairo	2006	current
AFNU	New Zealand Embassy, Madrid	1992	current
AFNV	New Zealand Embassy, Mexico City	1983	current
AFNW	New Zealand High Commission, Tarawa	1989	current
AFNX	New Zealand Embassy, Ha Noi	1995	current
AFNY	New Zealand High Commission, Nuku'alofa	1976	current
AFNZ	New Zealand High Commission, Port Vila	1987	current
AFOA	New Zealand High Commission, Pretoria	1996	current
AFOQ	New Zealand Embassy, Dili	2002	current
AFPG	Whanganui Deputy Official Assignee	1885	c. 1995
AFPH	Whanganui Court of Review	1935	1961
AFSQ	Independent Police Conduct Authority	2007	current
AFUL	Land Information New Zealand, New Plymouth Branch Office	1996	2002
AFUM	New Zealand Embassy, Warsaw	2005	current
AFUN	New Zealand Embassy, Santiago	1973	current
AFUS	New Zealand Embassy, Rome	1966	current
AFVC	New Zealand Embassy, Vienna [II]	2011	current
AFVD	New Zealand Consulate, Chicago	c. 1994	current
AFVF	Ministry of Energy - Oil and Gas Division	1978	1986
AFVI	Ministry of Science and Innovation	2011	current
AFVK	New Zealand Consulate-General, Geneva	1961	current
AFVW	Stamp Duties Office, Napier District Office	1867	1952
AFWF	Canterbury Earthquake Recovery Authority	2011	current
AFXB	Department of Internal Affairs, Dunedin Rehabilitation Office	1943	c. 1956
AFXC	Social Security Department, Christchurch Rehabilitation Office	1943	? 1972
AFXU	Rugby World Cup Authority	2010	current
AFXW	Department of Conservation - Warkworth Great Barrier Island Area Office	? 2009	current
AFXX	Environmental Protection Authority	2011	current
AFYE	Land Transfer Office	? 1860	1996
AFYG	Television Two, Headquarters	1973	1980
AFYK	Old Land Claims Commission	c. 1840	? 1926
AFYO	Office for the Community and Voluntary Sector	2003	current
AFYR	Human Rights Commission, Christchurch Office	1980	current
AGBF	Ministry of Education, Rotorua Office	1989	current
AGBL	Land Titles Office Blenheim	c. 1860	c. 1998
AGBM	Land Information New Zealand Blenheim Branch Office	c. 1996	c. 2001
AGBR	New Zealand Divisional Support Artillery	1915	1916
ARNZ	Archives New Zealand, National Office	2000	current
BAAA	Department of Education, Northern Regional Office	c. 1948	1989
BACP	Headquarters Land Force Command	1984	1998
BADL	Mines Department, Inspector of Mines, Waihi	1905	c. 1952
BADO	Headquarters New Zealand Land Forces	1979	1984
BADZ	Companies Office, Auckland	1861	? 1975
BAEA	Commercial Affairs Division, Auckland	? 1975	1995
BAEB	Auckland Chief Post Office	1840	1987
BAEC	Whangarei Chief Post Office	1896	? 1987
BAED	Rotorua Chief Post Office	1885	? 1987
BAEF	Gisborne Chief Post Office	1870	? 1987
BAEG	Hamilton Chief Post Office	1864	? 1987
BAEH	Thames Chief Post Office	1870	? 1987
BAEQ	Department of Industries and Commerce, Auckland Office	1919	1972
BAFH	Coromandel Telegraph Office	1875	1882
BAFY	New Zealand Milk Board, Auckland District Office	1953	1988
BAIJ	New Zealand Electricity Department, Auckland District Office	1946	1978
BAJJ	Department of Maori Affairs, Rotorua District Office	? 1900	1989
BANF	Land Information New Zealand, Gisborne Branch Office	1996	2001
BAOD	Community Probation Service, Whangarei Service Centre	c. 1957	current
BARA	Hikurangi Police Station	1897	current
BAUL	Kamo Police Station	1882	1896
BAYT	Companies Registry, Hamilton Office	1995	current
BBAD	Ministry of Works and Development, Auckland District Office	c. 1874	1988
BBAI	Department of Labour, Auckland District Office	1892	2012
BBAN	New Zealand Police, Auckland District Headquarters	1877	current
BBAO	New Zealand Customs Service, Auckland Offiice	1841	current
BBAP	State Services Commission, Auckland Regional Office	1947	2007
BBAT	Ministry of Energy, Electricity Division, Auckland District Office	1978	1987
BBBO	Ministry of Works and Development, Turangi Project Office	1965	1984
BBBW	Transit New Zealand, Auckland Regional Office	1989	2008
BBCH	Department of Labour Occupational Safety and Health Division, North Shore Branch	1988	current
BBEE	Department of Conservation, Northland Conservancy Office	1987	current
BBHP	Ministry of Works and Development, Rotorua Residency	? 1946	1988
BBIA	Community Probation Service, Papakura Service Centre	c. 1953	current
BBIT	Dargaville Police Station	? 1878	current
BBLB	Maritime New Zealand, Auckland	1993	current
BBLC	Education Review Office, Auckland Office	1989	current
BBNZ	Companies Registry, Auckland Office	1995	current
BBOA	Insolvency and Trustee Service, Midland Regional Office	1995	current
BBOT	Child, Youth and Family, Kaitaia District Office 	1992	current
BBOW	Serious Fraud Office	1990	current
BBOY	New Zealand Police North Shore/Waitakere District Headquarters	1997	current
BBPD	Human Rights Commission, Auckland Office	1978	current
BBPN	Commercial Affairs Division, Hamilton	? 1975	1995
BBQX	Clevedon Post Office	1886	? 1987
BBRD	Manurewa Post Office	1884	1987
BBRE	Howick Post Office	1849	1987
BBRF	Papatoetoe Post Office	1897	1987
BBRN	Pio Pio Post Office	1905	1987
BBRO	Puhoi Post Office	1870	1987
BBRS	Reporoa Post Office	1922	1987
BBRT	Raglan Post Office	1858	1987
BBRU	Rangiriri Post Office	1863	1979
BBRV	Rawene Post Office	1840	1987
BBRW	Ruatoria Post Office	1913	1987
BBRX	Ruawai Post Office	1908	1987
BBRZ	Silverdale Post Office	1858	1987
BBSA	Te Karaka Post Office	1889	1987
BBSB	Tauranga Chief Post Office	1857	? 1987
BBSC	Turangi Post Office	1929	1987
BBSD	Turua Post Office	1878	1987
BBSE	Taneatua Post Office	1896	1987
BBSF	Takapuna North Post Office	1867	1987
BBSG	Te Aroha Post Office	1880	1987
BBSH	Te Araroa Post Office	1888	1987
BBSI	Taupiri Post Office	1873	1987
BBSJ	Tikitiki Post Office	1899	1987
BBSK	Tolaga Bay Post Office	1877	1987
BBSL	Tuakau Post Office	1870	1987
BBSM	Tirau Post Office	1881	1987
BBSP	Whangaroa Post Office	1870	1975
BBSQ	Whitianga Post Office	1863	1987
BBSR	Waiuku Post Office	1855	1987
BBSS	Waiwera Post Office	1858	1987
BBST	Waimana Post Office	1899	1987
BBSU	Waipu Post Office	1858	1987
BBSV	Waitakaro Post Office	1906	1974
BBSX	Warkworth Post Office	1856	1987
BBSY	Wellsford Post Office	1874	1987
BBSZ	Community Probation Service, Hamilton Service Centre [Anglesea Street]	c. 1957	current
BBTA	Katikati Post Office	1876	1987
BBTB	Kawerau Post Office	1953	1987
BBTC	Kawhia Post Office	1886	1987
BBTD	Bennydale Post Office	1943	1987
BBTE	Mangapehi Post Office	1899	1977
BBTF	Mangonui Post Office	1848	1987
BBTH	New Lynn Post Office	1903	1987
BBTI	Kohukohu Post Office	1877	1987
BBTM	Port Albert Post Office	1863	1987
BBTN	Avondale Post Office	1882	1987
BBTO	Russell Post Office	1844	1987
BBTP	Aria Post Office	1906	1987
BBTQ	Awanui Post Office	1867	1987
BBTR	Birkenhead South Post Office	1884	1987
BBTS	Browns Bay Post Office	1926	1987
BBTT	Broadwood Post Office	1892	1987
BBTU	Coromandel Post Office	1857	1987
BBTV	Cambridge Post Office	1864	1987
BBTW	Devonport Post Office	1866	1987
BBTX	Ellerslie Post Office	1881	1987
BBTY	Helensville Post Office	1863	1987
BBTZ	Herekino Post Office	1887	1987
BBUA	Hikurangi Post Office	1882	1987
BBUB	Kaiwaka Post Office	1860	1987
BBUC	Kumeu Post Office	1910	1987
BBUD	Kaukapakapa Post Office	1861	1987
BBUE	Kaeo Post Office	1880	1987
BBUG	Houhora Post Office	1894	? 1987
BBUH	Mamaku Post Office	1895	1987
BBUI	Mangakino Post Office	1876	1987
BBUJ	Mangapai Post Office	1860	1987
BBUK	Ohura Post Office	1894	1987
BBUL	Matamata Post Office	1886	1987
BBUM	Matata Post Office	1862	1987
BBUN	Matawai Post Office	1907	1987
BBUO	Matiere Post Office	1904	1987
BBUP	Maungaturoto Post Office	1864	1987
BBUQ	Mercer Post Office	1867	1987
BBUR	Murupara Post Office	1917	1987
BBUS	National Park Post Office	1926	1987
BBUT	Ngaruwahia Post Office	1863	1987
BBUU	Ngatea Post Office	1912	1987
BBUV	Onehunga Post Office	1848	1987
BBUW	Okaihau Post Office	1874	1987
BBUY	Ohaewai Post Office	1875	1987
BBUZ	Owhango Post Office	1904	1987
BBVA	Orewa Post Office	1860	? 1987
BBVB	Ongarue Post Office	1901	1987
BBVC	Otorohanga Post Office	1885	1987
BBVD	Paeroa Post Office	1872	1987
BBVE	Paparoa Post Office	1863	1987
BBVL	Te Kao Post Office	1881	1987
BBVV	Oparure Post Office	1905	1928
BBWA	Mangawhai Post Office	1873	1987
BBWG	Te Kopuru Post Office	1877	1987
BBWJ	Whangarei Heads Post Office	1856	1951
BBWS	Kuaotunu Post Office	1890	1950
BBXG	Tokomaru Bay Post Office	1876	1987
BBXQ	Te Kauwhata Post Office	1905	1987
BBYD	Te Teko Post Office	1879	1987
BBYJ	Kerikeri Post Office	1863	1987
BBYS	Totara North Post Office	1857	1987
BBYT	Kawakawa Post Office	1869	1987
BBYU	Kawau Post Office	1864	1891
BBZA	Awhitu Post Office	1867	1953
BBZB	Matakana Post Office	1858	1987
BBZE	Pirongia Post Office	1864	1987
BBZP	Te Puia Springs Post Office	1907	1987
BBZV	Community Probation Service, Otahuhu Service Centre	? 1953	current
BCAI	New Zealand Police, Northland District Headquarters	1920	current
BCAT	Land Titles Office, Auckland	1842	1996
BCCH	Ministry for the Environment, Auckland Office	1987	current
BCDC	Community Probation Service, Hamilton Area Office	? 1997	current
CAAA	Department of Education, Southern Regional Office	1960	1989
CAAD	New Zealand Geological Survey, Christchurch Substation	c. 1949	1992
CAAR	Department of Lands and Survey, Christchurch District Office	1892	1987
CAAY	Lands Department, Christchurch	1987	1990
CAHD	New Zealand Milk Board, Christchurch District Office	1953	1988
CAHG	Geophysical Observatory, Christchurch	c. 1944	1992
CAHH	Statistics New Zealand, Christchurch	1962	current
CAHI	Ministry of Transport, Southern Regional Office	1970	1993
CAHL	New Zealand Railways, Greymouth District Engineer's Office	? 1880	? 1980
CAHN	Timaru Chief Postmaster's Office	1858	1987
CAHR	Christchurch Chief Post Office	1854	1987
CAHT	Customs Department, Greymouth District Office	c. 1865	? 1989
CAHU	Department of Scientific and Industrial Research - Antarctic Division	1959	1992
CAHZ	New Zealand Police, Christchurch District Headquarters	1886	current
CAID	Valuation New Zealand, Timaru District Office	c. 1896	1998
CAIL	State Coal Mines, Greymouth Mining District Office	c. 1902	1987
CAIM	State Coal Mines, Westport Mining District Office	c. 1902	1987
CAIV	Greymouth Chief Post Office	1865	1987
CAIW	Valuation New Zealand, Hokitika District Office	c. 1896	1998
CAIX	Department of Survey and Land Information, Christchurch District Office	1987	1996
CAJF	Department of Conservation, Westland Conservancy Regional Office	1987	current
CAJM	Joint Services Health School	1941	current
CAKJ	Invercargill Central Police Station	1858	current
CALM	Department of Scientific and Industrial Research, Lincoln Research Centre	? 1984	1990
CAMI	Department of Social Welfare, Invercargill District Office	1972	1992
CAMP	New Zealand Forest Service, Southland Conservancy	? 1921	1987
CAMT	Transit New Zealand, Christchurch Regional Office	1989	2008
CANE	Department of Scientific and Industrial Research - Crop Research Division	1936	1992
CANF	Department of Scientific and Industrial Research - Botany Division	? 1928	1990
CANG	Department of Scientific and Industrial Research - Plant Diseases Division, Lincoln Substation	c. 1960	1990
CANH	Department of Scientific and Industrial Research, Christchurch District Office	c. 1935	1970
CASN	Department of Scientific and Industrial Research - Chemistry Division, Christchurch District Laboratory	1925	1992
CATS	Inland Revenue Department, Christchurch District Office	1952	current
CATY	Ministry of Agriculture and Fisheries, MAF Policy (MAF Pol), Invermay	c. 1990	1995
CAVL	New Zealand Customs Service, Lyttelton Office	1849	current
CAVM	Customs Department, Collector of Customs Office, Westport	c. 1869	? 1930
CAVN	New Zealand Customs Service, Christchurch Regional Office	c. 1860	current
CAWB	New Zealand Customs Service, Timaru District Office	1862	? 1998
CAWC	Department of Labour, Employment Relations Service, Christchurch	? 1988	c. 2004
CAWP	Headquarters, Southern Military District	1911	1970
CAXJ	Office of the Ombudsmen, Christchurch Office	1976	current
CAXM	Child, Youth & Family, Greymouth Office	1992	current
CAXS	Department of Scientific and Industrial Research - Social Science Unit, Head Office	1979	1992
CAYI	New Zealand Electricity Department, Christchurch District Office	1946	1978
CAYN	Land Information New Zealand [LINZ] Christchurch Processing Centre	1996	current
CAYZ	Department of Agriculture, Christchurch Regional Office	1892	1972
CAZA	New Zealand Post Office Department, Regional Engineer's Office, Christchurch	? 1881	1987
CAZC	Child, Youth & Family, Timaru District Office	1992	current
CAZE	Department of Scientific and Industrial Research - Southern Industrial Development Division	1948	1990
CAZF	Department of Conservation, Aoraki Area Office	1987	current
CAZU	Department of Scientific and Industrial Research - Entomology Division, Lincoln Substation	1946	1990
CBAT	Ministry of Economic Development, Southern Business Centre, Christchurch	1995	2012
CBBA	Ministry of External Relations and Trade, New Zealand Antarctic Programme Head Quarters	1992	1996
CBCL	Ministry of Transport, Greymouth District office	? 1972	? 1993
CBDC	New Zealand Post Office Department, District Engineer's Office, Greymouth	? 1881	1987
CBDD	Lyttelton Post Office	1849	1987
CBDE	Kaiapoi Post Office	1855	1987
CBDR	Magnetic Survey Office, Christchurch	1901	1969
CBDT	Department for Corrections, Community Probation Service, Nelson Marlborough West Coast Area Office	1997	current
CBEA	Ministry of Transport, Timaru Office	? 1968	? 1993
CBEN	Plant Variety Rights Office	1973	current
CBEP	South Rakaia Court Office	c. 1879	unknown
CBET	Akaroa Magistrate's Court	c. 1840	1979
DAAD	Department of Justice, Commercial Affairs Division, Official Assignee's Office, Dunedin	1883	1995
DAAG	Oamaru Chief Post Office	1858	1987
DAAH	New Zealand Forest Service, Dunedin District Office	? 1921	1987
DAAI	Department of Lands and Survey, Invercargill District Office	? 1891	1987
DAAJ	Department of Survey and Land Information, Invercargill District Office	1987	1996
DAAK	Department of Lands and Survey, Dunedin District Office	? 1891	1987
DAAU	Television One, Dunedin Studios	1975	1980
DAAV	Broadcasting Corporation of New Zealand, Television New Zealand, Dunedin	1980	1988
DAAW	Ministry of Energy, Electricity Division, Dunedin District Office	1978	1987
DABA	New Zealand Fire Service, Southern Fire Region	1976	current
DABI	New Zealand Post Office Department, District Engineer's Office, Dunedin	? 1881	1987
DABK	New Zealand Forest Service, Otago Coast Forest Station	c. 1946	1987
DABL	New Zealand Forest Service, Tapanui District Office	? 1919	1987
DACD	Broadcasting Corporation of New Zealand, Radio New Zealand, Dunedin Region	1977	1988
DACH	Ministry for the Environment, Dunedin Regional Unit	1987	1997
DACL	New Zealand Police, Queenstown Police Station	1862	current
DACT	Naseby Police Station	1863	1961
DADE	Ministry of Works and Development, Dunedin District Office	c. 1875	1988
DADN	New Zealand Railways Department, Resident Engineer's Office, Invercargill	c. 1880	1966
DAEB	Kurow Police Station	1890	current
DAEJ	Ngapara Police Station	? 1879	1910
DAEK	Duntroon Police Station	1878	1989
DAEM	Kaitangata Police Station	? 1878	1970
DAFV	New Zealand Railways Department, District Traffic Manager's Office, Dunedin	c. 1880	1981
DAFW	New Zealand Railways Department, District Engineer's Office, Dunedin	c. 1880	1981
DAGF	Child, Youth and Family, Otago Service Delivery Unit	1992	current
DAGY	Ministry of Works and Development, Alexandra Residency	c. 1870	1988
DAIG	Ministry of Agriculture and Forestry, MAF Policy, Dunedin 	1998	current
DAIQ	Transit New Zealand, Dunedin Regional Office	1989	2008
DAIX	Department of Internal Affairs, Dunedin Regional Office	c. 1920	1992
DAJC	New Zealand Railways Department, Area Traffic Manager's Office, Invercargill	c. 1880	1981
DAJM	Ministry of Agriculture and Fisheries, MAF Tech, Invermay	? 1988	c. 1991
DAJN	Ministry of Agriculture, MAF Policy, Invermay	1995	1998
DAJU	Stanley Police Station	1864	1864
DAJV	Green Hills Police Station	1864	1864
DAKA	Stamp Duties Office, Dunedin	1867	1952
DAKZ	New Zealand Railways Department, Hillside Railway Workshops	1874	1981
DALA	Child, Youth & Family, Balclutha Office	? 1992	current
DALB	New Zealand Forest Service, Rowallan Station	c. 1952	? 1987
DALC	New Zealand Forest Service, Otautau Station	c. 1926	? 1987
DALD	New Zealand Forest Service, Western District Office	c. 1938	1987
DALE	New Zealand Forest Service, Eastern District Office	1949	1983
DALG	New Zealand Forest Service, Owaka Station	1959	? 1987
DALK	New Zealand Forest Service, Wyndham Office	c. 1965	1987
  Local government agency                    			
AADZ	Wellington City Council, Libraries Department	c. 1893	current
ABFQ	Wellington Board of Education	1872	1876
ADKM	Horowhenua District Council	1989	current
