title	url	description	agency
NZ.Stat	http://nzdotstat.stats.govt.nz/wbos/Index.aspx	primary point of access for most statistics, so far has fully replaced the old Table Builder	Statistics New Zealand
Infoshare	http://www.stats.govt.nz/infoshare/	time series data, in process of migrating to NZ.Stat	Statistics New Zealand
Statistics Browser	http://statistics.govt.nz/browse_for_stats.aspx		Statistics New Zealand
Geographic Boundary Files	http://www.stats.govt.nz/browse_for_stats/Maps_and_geography/Geographic-areas/digital-boundary-files.aspx		Statistics New Zealand
Statistics Page	https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/statistics/index.html		Ministry of Social Development (MSD)
Benefits Data Tables	https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/statistics/benefit/index.html#Datatables6		Ministry of Social Development (MSD)
Social Housing Register	http://www.housing.msd.govt.nz/information-for-housing-providers/register/index.html		Ministry of Social Development (MSD)
Conviction data	http://datalab.justice.govt.nz/data#1		Ministry of Justice (MoJ)
Health Statistics and Datasets	http://www.health.govt.nz/nz-health-statistics/health-statistics-and-data-sets		Ministry of Health (MoH)
Transport Data	http://www.transport.govt.nz/ourwork/tmif/		Ministry of Transport (MoT)
GIS Data & APIs	https://data.mfe.govt.nz/		Ministry for the Environment (MoE)
Doc Facilities	http://geoportal.doc.govt.nz/geoportal/catalog/search/browse/browse.page		Department of Conservation (DoC)
Digital NZ API	http://digitalnz.org/developers		Department of Internal Affairs (DIA) (+ DigitalNZ)
Data.govt.nz	http://data.govt.nz	Contains listings of and links to over 3,400 datasets from various Government departments, including LINZ, National Library, ACC, Police, various District Councils.  There were 247 datasets marked as either updated or newly added  between 1st June 2015 & 14th June 2015.	Department of Internal Affairs (DIA) (+ DigitalNZ)
Government A-Z directory and Consultation Listing	https://www.govt.nz/about/api		Department of Internal Affairs (DIA) (+ DigitalNZ)
New Zealand Gazette	http://www.digitalnz.org/developers/govhack-infopack#gazette		Department of Internal Affairs (DIA) (+ DigitalNZ)
Papers Past	http://natlib.govt.nz/about-us/open-data/papers-past-metadata		Department of Internal Affairs (DIA) (+ DigitalNZ)
Turnbull Unpublished Collections	http://natlib.govt.nz/about-us/open-data/turnbull-unpublished-collections-metadata		Department of Internal Affairs (DIA) (+ DigitalNZ)
WWI related data	http://www.digitalnz.org/developers/wwi-api-examples		Department of Internal Affairs (DIA) (+ DigitalNZ)
Publications New Zealand	http://natlib.govt.nz/about-us/open-data/publications-nz-metadata		Department of Internal Affairs (DIA) (+ DigitalNZ)
Index New Zealand	http://natlib.govt.nz/about-us/open-data/innz-metadata		Department of Internal Affairs (DIA) (+ DigitalNZ)
Free Alexander Turnbull Library Image Downloads	http://natlib.govt.nz/photos?il%5batl_free_download%5d=true		Department of Internal Affairs (DIA) (+ DigitalNZ)
Tax Statistics	http://www.ird.govt.nz/aboutir/external-stats/tax-statistics-sitemap.html		Inland Revenue (IRD)
LINZ Data Service - GIS Data & APIs	https://data.linz.govt.nz/	Authoritative New Zealand topographic, hydrographic, survey, title, street address, crown pastoral land, aerial imagery, and geodetic data.	Land Information New Zealand (LINZ)
Data Collections	https://www.educationcounts.govt.nz/data-services/data-collections		Education Counts
Statistics	http://www.educationcounts.govt.nz/statistics		Education Counts
Public Access Areas	https://data.govt.nz/dataset/show/3630		New Zealand Walking Access Commission
Public Access Areas (REST API)	http://wams.org.nz/arcgis/rest/services/WEBSERVICE/WEBSERVICE_Public_Access_Areas/MapServer		New Zealand Walking Access Commission
Generic Information	http://walkingaccess.govt.nz/walking-access-mapping/gis-data/		New Zealand Walking Access Commission
Crime Statistics	http://www.police.govt.nz/about-us/publications/statistics		New Zealand Police
Secondary School Stats	http://www.nzqa.govt.nz/studying-in-new-zealand/secondary-school-and-ncea/find-information-about-a-school/secondary-school-statistics/consolidated-files/		New Zealand Qualifications Authority (NZQA)
InfoConnect	https://infoconnect.highwayinfo.govt.nz/opencms/opencms/infoconnect		New Zealand Transport Agency (NZTA)
Crash Analysis System (CAS)	https://www.nzta.govt.nz/resources/crash-analysis-system-data/index.html		New Zealand Transport Agency (NZTA)
Aerial Imagery	https://koordinates.com/publisher/nzta/data/		New Zealand Transport Agency (NZTA)
API	https://api.business.govt.nz/api/		Ministry of Business, Innovation and Employment (MBIE)
Companies Register	http://www.business.govt.nz/companies/help-support/technical-support/connect-direct/web-services		Ministry of Business, Innovation and Employment (MBIE)
Rental Bond Data	http://www.building.govt.nz/nz-housing-and-construction-quarterly-open-data		Ministry of Business, Innovation and Employment (MBIE)
Regional Tourism Estimates	http://www.med.govt.nz/sectors-industries/tourism/tourism-research-data/regional-tourism-estimates/key-pivot-table	annual dollars	
Regional Tourism Indicators	http://www.med.govt.nz/sectors-industries/tourism/tourism-research-data/regional-tourism-indicators	monthly index	
Tourism forecasts	http://www.med.govt.nz/sectors-industries/tourism/tourism-research-data/forecasts/2015-2021-forecasts		
Statistics	http://www.rbnz.govt.nz/statistics/		Reserve Bank of New Zealand
GEOINT New Zealand - SW Pacific GIS data / APIs	https://geodata.nzdf.mil.nz/		New Zealand Defence Force (NZDF)
Auckland Open Data	http://aucklandopendata.aucklandcouncil.opendata.arcgis.com/		Auckland Council
Auckland Transport API	https://api.at.govt.nz/		Auckland Council
Full Datasets	http://wdc.wanganui.govt.nz/odata/xml/index.html		Wanganui District Council
GIS data	http://maps.wanganui.govt.nz/geoserver/web/;jsessionid=h7wgq0v25vjm?wicket:bookmarkablePage=:org.geoserver.web.demo.MapPreviewPage		Wanganui District Council
Cemetery Search	http://www.wanganui.govt.nz/our-services/cemeteries-and-crematorium/Pages/Cemetery-Search.aspx		Wanganui District Council
Property/Rating Search	http://www.wanganui.govt.nz/our-services/property-and-rates/rating-and-valuations/Pages/default.aspx		Wanganui District Council
Food Grading Search	http://www.wanganui.govt.nz/our-services/do-it-online/food-grading-search/Pages/default.aspx		Wanganui District Council
GIS Data	http://data.wcc.opendata.arcgis.com/		Wellington City Council (WCC)
GIS Data (alternative)	https://koordinates.com/publisher/wcc/data/		Wellington City Council (WCC)
Metlink Realtime Data (non-API)	http://www.metlink.org.nz/getting-around/real-time-information/		Wellington City Council (WCC)
GIS Data & APIs	https://data.canterburymaps.govt.nz/		Environment Canterbury & Partners (ECAN)
GIS Data & APIs	https://koordinates.com/publisher/greater-wellington-regional-council/data/		Greater Wellington Regional Council (GWRC)
GIS Data & APIs	https://koordinates.com/publisher/porirua-city-council/data/		Porirua City Council
CliFlo Climate Database	http://cliflo.niwa.co.nz/		NIWA
River Environment Classification (REC) v2.0 (OGC WMS)	http://gs.niwa.co.nz/rec/wms		NIWA
River Envrionment Classification (REC) v2.0 (ArcGIS WMTS)	http://gis.niwa.co.nz/arcgis/rest/services/HYDRO/REC_rivers_lakes/MapServer/WMTS?		NIWA
GeoNet - Earthquake Data	http://www.geonet.org.nz/resources/earthquake/quake-web-services.html		GNS Science
LRIS Portal - Science/Land GIS Data & APIs	https://lris.scinfo.org.nz/		Landcare Research | Manaaki Whenua
Topographic basemaps (OGC WMS)	http://maps.scinfo.org.nz/basemaps/wms?		Landcare Research | Manaaki Whenua
Natural resources data	http://www.lawa.org.nz/		Land Air Water Aotearoa (LAWA)
Organism Register	http://data.nzor.org.nz/		New Zealand Organisms Register
Full API	http://figure.nz/api/		Figure NZ (formally Wiki New Zealand)
Multiple Various Datasets	http://cat.open.org.nz/category/dataset/	(needs expanding)	Open Data
Multiple Various Datasets and APIs	https://hack-miramar.wikispaces.com/Data+sources	(needs expanding)	Hack Miramar
Market Info	http://www.electricityinfo.co.nz/comitFta/ftapage.main		New Zealand Electricity Industry
Developer Center	https://www.nzpost.co.nz/business/developer-centre		NZ Post
NZ Places Listings	http://www.zenbu.co.nz/about/xml		Zenbu
Vehicle Information	http://www.carjam.co.nz/cms/2008/12/24/carjam-api/		Carjam
Geospatial Data & APIs	https://koordinates.com		Koordinates
Event Infomation	http://www.eventfinder.co.nz/api/index		Eventfinder
Usage, Meter Readings, Account Topup	http://powershop.co.nz/developers.html		Powershop
Full API	http://developer.trademe.co.nz/		TradeMe
Full API	http://developer.xero.com/documentation/getting-started/getting-started-guide/		Xero
News RSS Feed/API	http://wellington.gen.nz/api		Wellington News
Full API	https://developers.vendhq.com/documentation		Vend
Web Services API	https://www.psoda.com/download/PsodaWebServicesReference.pdf		Psoda
API	https://developer.asb.co.nz/		ASB